- 1 2 3 4 5 6 7 8 9 10 11 12 
A 13 0 10 18 12 0 10 15 10 4 10 7 
B 0 7 19 6 13 19 15 0 18 19 20 18 
C 11 0 6 5 14 13 19 13 0 18 6 17 
D 18 10 6 0 7 9 16 8 19 2 16 9 
E 1 11 0 10 12 20 17 18 19 14 20 20 
F 5 6 14 18 3 0 16 1 20 11 15 7 
G 0 16 7 2 5 19 19 11 13 18 0 0 
H 8 14 4 15 4 11 15 11 18 7 15 11 
I 13 5 19 5 18 2 3 8 9 5 4 14 
J 19 5 2 18 19 15 13 19 1 16 6 19 
K 2 16 8 16 16 1 0 7 12 8 10 2 
L 11 7 6 5 6 5 4 16 3 10 8 7 
M 6 4 20 19 10 8 8 18 20 14 13 10 
N 11 11 13 20 3 19 7 18 9 20 13 13 
O 4 4 20 3 14 17 12 2 5 11 0 6 
P 5 1 9 14 12 16 14 1 10 15 0 20 
Q 6 17 1 19 17 19 6 20 4 14 8 6 
R 16 15 19 3 4 13 4 2 5 17 0 10 
S 3 16 12 13 13 4 5 16 5 17 2 20 
T 6 13 14 18 18 9 18 9 6 14 2 10 
U 15 19 8 18 20 12 15 3 11 15 9 9 
V 17 5 15 3 19 1 2 0 5 1 0 2 
W 0 10 4 20 10 6 4 1 14 15 3 14 
X 20 10 8 17 8 4 9 17 6 11 2 17 
Y 2 5 3 17 16 11 4 8 0 0 4 5 
Z 20 7 9 14 20 4 19 18 9 7 18 20 
