- 1 2 3 4 5 6 7 8 9 10 11 12 
A 10 14 18 4 13 4 11 7 20 0 17 20 
B 11 6 0 11 12 5 12 6 5 5 4 13 
C 2 6 7 9 7 0 0 18 4 8 11 6 
D 1 20 2 16 18 17 1 20 19 14 5 4 
E 1 9 4 9 0 16 8 2 16 3 14 12 
F 2 6 12 16 13 6 20 7 4 14 12 10 
G 12 9 12 18 2 16 14 17 9 13 12 4 
H 17 8 7 7 17 4 16 10 2 11 20 6 
I 4 13 16 9 12 3 15 18 6 2 17 13 
J 11 1 15 17 7 8 17 7 11 6 10 20 
K 15 13 15 17 13 20 11 15 13 15 3 11 
L 20 18 19 20 12 16 5 5 20 13 19 14 
M 20 3 2 15 0 11 7 19 10 2 6 3 
N 1 8 5 3 20 13 16 10 14 9 0 5 
O 19 4 5 17 8 4 4 17 11 17 4 10 
P 17 18 11 0 16 4 6 12 16 5 2 17 
Q 16 16 3 7 19 20 8 10 12 11 2 7 
R 12 10 17 9 14 3 2 7 0 14 17 0 
S 20 11 3 11 5 16 1 6 10 0 0 3 
T 6 3 15 18 4 4 20 2 9 11 19 14 
U 9 2 7 1 13 18 8 13 3 12 1 16 
V 14 14 8 9 17 4 17 0 2 11 6 20 
W 17 7 13 1 19 9 9 2 15 13 10 20 
X 17 1 0 6 12 11 15 11 16 4 15 14 
Y 12 19 4 8 17 9 12 2 7 14 18 10 
Z 9 0 3 13 2 11 8 9 17 14 6 6 
