- 1 2 3 4 5 6 7 8 9 10 11 12 
A 17 8 20 1 19 19 4 1 7 13 9 11 
B 3 19 9 8 1 18 18 14 10 13 3 0 
C 5 13 10 6 13 16 11 19 20 17 3 9 
D 10 11 11 18 17 20 13 1 6 3 9 5 
E 18 11 7 19 17 2 13 19 15 2 4 9 
F 16 2 10 20 15 9 13 4 14 12 0 9 
G 7 8 14 0 19 0 15 10 11 1 0 2 
H 20 13 15 8 5 2 20 0 19 0 1 4 
I 9 14 15 19 2 1 1 19 0 20 10 13 
J 15 7 19 7 11 1 16 8 18 4 19 8 
K 12 2 2 3 6 15 2 1 9 18 15 10 
L 1 3 16 17 17 1 6 6 6 15 5 2 
M 12 4 9 2 6 19 19 3 2 3 19 7 
N 4 3 0 6 16 2 12 6 12 3 12 7 
O 3 2 12 8 4 12 10 18 18 9 19 10 
P 6 11 10 17 15 10 1 20 11 20 11 13 
Q 5 8 2 4 1 7 13 13 5 12 6 5 
R 5 9 18 1 2 4 18 9 12 19 9 0 
S 19 4 5 3 17 1 9 18 10 18 18 18 
T 19 0 10 2 0 13 18 2 11 12 0 11 
U 14 2 19 6 14 8 15 16 10 14 3 12 
V 20 0 9 15 7 12 3 6 1 17 15 9 
W 19 14 11 20 15 15 14 13 17 2 2 6 
X 14 19 1 10 14 19 8 13 5 5 7 6 
Y 11 1 0 8 11 6 10 0 4 0 18 9 
Z 5 2 4 17 9 17 2 2 2 6 12 7 
