- 1 2 3 4 5 6 7 8 9 10 11 12 
A 17 14 18 5 13 15 11 11 17 5 1 19 
B 2 10 18 11 15 13 17 11 15 20 17 12 
C 18 0 12 19 5 2 18 15 0 18 2 18 
D 1 13 11 18 14 6 15 6 6 14 7 17 
E 0 15 10 18 0 20 19 18 0 14 5 14 
F 20 7 5 4 2 6 10 6 6 17 14 20 
G 16 18 7 5 7 12 6 17 12 20 10 1 
H 7 13 15 2 17 15 11 17 16 0 1 15 
I 14 19 7 17 4 0 20 15 7 7 3 15 
J 14 13 19 20 12 13 2 14 6 6 4 14 
K 7 18 20 14 11 9 13 11 2 10 4 16 
L 9 14 10 1 0 13 2 7 2 2 12 13 
M 18 7 2 19 14 11 20 19 10 3 4 17 
N 5 13 19 13 15 14 10 1 16 2 3 16 
O 14 7 6 13 13 2 3 17 3 14 13 2 
P 15 8 14 0 5 5 5 16 3 4 1 0 
Q 0 17 13 20 4 11 2 4 5 19 12 19 
R 6 3 10 3 11 19 0 11 14 10 15 14 
S 5 1 15 12 10 19 16 7 18 6 1 12 
T 1 7 5 8 17 6 13 16 0 10 20 2 
U 16 19 6 10 1 14 15 4 13 7 15 5 
V 8 12 10 9 10 7 10 19 17 10 2 7 
W 14 18 18 5 4 8 5 14 18 4 4 20 
X 20 18 0 3 6 16 1 11 19 8 19 3 
Y 17 6 18 13 20 20 13 4 14 5 7 12 
Z 0 12 19 5 6 6 5 5 4 8 5 10 
