- 1 2 3 4 5 6 7 8 9 10 11 12 
A 19 1 5 5 6 11 9 6 2 19 10 20 
B 5 15 10 13 7 10 15 16 7 20 1 0 
C 20 18 20 6 14 14 1 1 4 7 16 12 
D 17 20 16 17 1 11 10 18 5 0 8 6 
E 3 0 16 6 1 7 7 16 18 5 16 10 
F 8 5 14 9 7 7 18 3 11 10 13 11 
G 5 9 8 9 14 4 15 5 14 18 2 4 
H 17 18 2 8 17 14 20 0 15 3 2 2 
I 7 20 4 8 4 8 14 9 3 17 16 2 
J 17 6 12 10 11 10 13 20 16 4 1 9 
K 9 7 8 9 2 20 3 7 1 10 8 2 
L 15 11 5 6 5 10 1 14 14 4 12 11 
M 0 4 16 7 8 4 9 2 3 14 6 5 
N 5 19 4 19 10 0 10 16 4 15 2 17 
O 11 8 11 15 15 1 19 16 19 14 19 2 
P 2 15 15 4 5 1 3 10 10 8 10 13 
Q 20 6 6 6 4 19 12 4 10 18 11 10 
R 13 5 18 6 11 6 15 6 11 9 11 16 
S 15 14 4 6 3 13 9 12 20 2 1 6 
T 1 20 18 17 6 0 8 0 8 0 18 1 
U 9 8 12 15 19 11 16 10 20 19 8 8 
V 17 13 5 16 9 12 4 18 10 10 8 13 
W 14 7 18 8 0 12 9 15 4 7 7 13 
X 5 19 9 10 18 14 11 14 3 16 0 4 
Y 13 9 19 11 16 0 1 7 0 20 15 2 
Z 12 10 6 13 18 17 1 14 20 20 1 15 
