- 1 2 3 4 5 6 7 8 9 10 11 12 
A 19 19 19 16 12 11 3 6 7 5 15 12 
B 1 0 8 11 14 12 13 13 9 19 15 6 
C 16 5 5 11 15 20 15 10 10 2 9 16 
D 19 20 5 12 12 6 6 0 2 2 10 14 
E 20 9 13 14 2 20 3 7 15 16 1 7 
F 15 12 14 4 7 4 2 20 5 7 0 5 
G 17 2 12 15 10 16 12 3 17 2 0 6 
H 5 1 10 6 6 3 18 0 15 11 3 12 
I 12 10 15 8 1 12 13 0 4 12 8 0 
J 16 2 8 11 7 3 7 13 15 19 12 2 
K 3 3 14 16 11 3 8 1 2 13 5 11 
L 15 8 15 9 5 17 11 11 18 9 19 3 
M 9 9 4 8 6 6 17 18 10 9 8 13 
N 10 10 6 11 11 11 3 2 10 2 7 13 
O 7 15 6 6 19 7 15 13 15 16 2 10 
P 1 15 9 2 1 6 7 7 0 8 2 0 
Q 2 18 13 5 18 9 5 18 20 1 3 2 
R 13 11 18 9 13 1 1 2 15 10 3 18 
S 17 19 6 5 2 9 10 10 8 14 11 13 
T 4 20 20 8 7 20 1 6 1 17 12 7 
U 1 12 19 5 6 18 18 14 8 0 3 0 
V 18 1 6 19 10 6 4 19 8 1 11 10 
W 0 10 19 0 12 5 17 8 17 6 15 0 
X 8 6 8 2 1 14 18 2 11 14 18 9 
Y 18 5 16 10 15 20 18 0 16 19 9 11 
Z 11 14 12 14 6 9 4 3 9 9 10 4 
