- 1 2 3 4 5 6 7 8 9 10 11 12 
A 2 1 16 17 0 13 1 5 5 8 2 3 
B 8 1 20 3 6 4 13 6 15 14 13 5 
C 1 16 4 5 20 0 17 8 15 12 15 16 
D 17 8 6 4 17 20 3 17 7 11 10 14 
E 15 20 4 14 15 10 15 12 7 17 2 6 
F 2 14 13 2 8 7 3 3 17 1 18 5 
G 13 13 0 3 17 7 11 3 16 13 10 11 
H 20 20 19 7 17 20 13 2 4 19 9 14 
I 11 15 1 14 1 19 20 10 1 9 11 5 
J 16 6 9 11 13 9 5 10 5 1 4 11 
K 7 0 9 5 15 12 16 19 1 11 12 5 
L 9 3 6 0 20 5 4 0 6 15 6 4 
M 20 6 5 14 5 12 19 17 12 10 15 0 
N 10 8 1 7 13 6 3 0 3 19 9 11 
O 3 14 0 20 15 7 14 4 20 4 14 6 
P 20 0 8 1 8 11 9 17 13 5 20 11 
Q 3 1 6 11 13 10 19 11 18 11 15 7 
R 19 19 2 12 0 10 9 16 19 12 12 12 
S 9 4 18 4 2 17 1 3 12 2 7 14 
T 8 20 10 13 12 10 1 7 5 5 2 15 
U 19 19 1 20 8 18 18 7 18 11 10 11 
V 10 20 14 14 20 7 5 5 6 18 2 1 
W 12 7 15 12 8 20 17 7 13 9 8 16 
X 17 16 8 7 12 11 16 4 13 12 5 14 
Y 13 14 0 10 7 2 7 6 17 7 3 4 
Z 16 1 20 10 6 10 1 16 15 4 20 11 
