- 1 2 3 4 5 6 7 8 9 10 11 12 
A 0 18 19 3 4 3 20 11 13 9 16 13 
B 10 2 1 6 5 4 3 11 16 7 17 15 
C 0 11 1 18 13 8 5 0 18 6 4 7 
D 10 7 9 0 13 8 3 7 5 7 6 15 
E 11 8 5 3 1 17 11 13 3 10 19 17 
F 10 14 6 10 1 17 0 11 6 5 11 6 
G 0 13 0 17 1 14 12 20 10 4 5 4 
H 17 11 19 17 9 4 17 20 19 7 2 1 
I 19 12 6 18 14 13 11 8 3 15 12 1 
J 6 1 14 19 7 19 1 18 2 16 11 12 
K 13 19 19 1 14 20 4 14 13 19 2 18 
L 20 3 9 14 19 2 4 14 8 15 16 8 
M 7 13 17 18 17 14 11 4 10 11 20 18 
N 1 3 16 8 3 15 15 8 5 3 14 3 
O 4 17 15 7 13 13 11 20 16 9 19 17 
P 14 8 1 19 20 19 5 8 16 4 13 12 
Q 20 18 1 6 18 3 10 2 5 11 2 16 
R 8 6 19 13 11 4 11 14 7 9 0 18 
S 0 10 18 14 9 5 14 4 7 3 5 7 
T 10 6 8 4 0 3 17 11 2 14 3 9 
U 18 7 19 9 4 2 9 15 9 2 0 15 
V 5 0 1 19 13 14 18 11 18 0 9 19 
W 19 20 8 0 7 3 1 13 3 2 16 5 
X 18 3 19 17 5 15 13 11 1 8 17 1 
Y 4 16 4 16 12 1 6 8 17 12 11 3 
Z 0 20 20 3 14 3 15 10 8 7 7 3 
